Line,Rain,Temperature,RH ,DewPoint,WindSpeed,GustSpeed,WindDirection,#,PLANTA,FRUTO,INCIDENCIA,SEVERIDAD(%)
2936,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,1,1,1,0,0
2937,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,2,1,2,0,0
2938,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,3,1,3,1,10
2939,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,4,1,4,0,0
2940,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,5,1,5,0,0
2941,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,6,1,6,0,0
2942,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,7,1,7,0,0
2943,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,8,1,8,0,0
2944,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,9,1,9,1,90
2945,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,10,1,10,0,0
2946,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,11,2,1,0,0
2947,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,12,2,2,0,0
2948,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,13,2,3,0,0
2949,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,14,2,4,1,100
2950,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,15,2,5,0,0
2951,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,16,2,6,1,80
2952,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,17,2,7,1,100
2953,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,18,2,8,0,0
2954,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,19,2,9,0,0
2955,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,20,2,10,0,0
2956,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,21,3,1,0,0
2957,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,22,3,2,0,0
2958,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,23,3,3,0,0
2959,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,24,3,4,0,0
2960,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,25,3,5,0,0
2961,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,26,3,6,0,0
2962,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,27,3,7,1,50
2963,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,28,3,8,0,0
2964,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,29,3,9,0,0
2965,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,30,3,10,1,100
2966,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,31,4,1,0,0
2967,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,32,4,2,0,0
2968,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,33,4,3,0,0
2969,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,34,4,4,0,0
